level0,level1,level2
,,くらい〈軽視〉
,,こそ
,,てこそ
,,さえ
,,として~ない
,,くらい〈程度〉
,,など
,,なんか
,,なんて
,,まで
,,までして
,,てまで
,,てでも
,,までだ〈軽い気持ち〉
,,たりとも~ない
,,といえども~ない
,,すら〈強調〉
,,だに
,,やら
,,からある
,,というもの
,,にして〈程度強調〉
,,あっての
,,きわまる
,,のきわみ
,,のいたり
,"Process, conclusion 経過・結末",
,,てしまう<残念>
,,ていない
,,まま
,,わけだ
,,しだいだ
,,ことになる〈結局〉
,,ということだ〈結論〉
,,ところだった
,,ずじまい
,,あげく
,,すえ(に)
,,きり
,,たところ
,,っけ
,,しまつだ
,,っぱなし
,,にいたる
,,にいたって
,Negation 否定,
,,わけがない
,,はずがない
,,っこない
,,ものか
,,もしない
,,どころではない
,,ことなく
,,なしに
,Partial negation 部分否定,
,,というものではない
,,わけではない
,,ないことはない
,,ことは〜が
,,とはかぎらない
,,なくもない
,,ないものでもない
,"Emphasis, conclusions 主張・判定",
,,にほかならない
,,にきまっている
,,にすぎない
,,しかない
,,ほかない
,,というものだ
,,にこしたことはない
,,のだ〈主張〉
,,までだ〈覚悟〉
,,ばそれまでだ
,,でなくてなんだろう
,Emotional emphasis 心情の強調,
,,てしかたがない
,,てたまらない
,,てならない
,,てはかなわない
,,てやまない
,,かぎりだ
,,といったらない
,Compulsion 強制,
,,ないわけにはいかない
,,ざるをえない
,,ないではいられない
,,ずにはいられない
,,ずにはすまない
,,ずにはおかない〈自発的作用〉
,,ずにはおかない〈必ずする〉
,,をきんじえない
,,をよぎなくされる
,,をよぎなくさせる
,Exclamation 感嘆,
,,ことに(は)
,,ことだ〈感慨》
,,ことか
,,ものだ〈回想〉
,,ものだ〈感慨〉
,,ものがある
,,だろう〈気持ちの強調〉
,,ではないかく感動〉
,,とは〈驚き〉
,,なんて
